,0,1
385,class_1,52.223.225.69
386,class_1,52.223.246.209
387,class_1,52.223.225.87
388,class_1,52.223.243.4
389,class_1,52.223.224.176
390,class_1,52.223.243.89
391,class_1,52.223.246.30
392,class_1,52.223.246.31
393,class_1,52.223.224.182
394,class_1,52.223.224.150
395,class_1,52.223.246.149
396,class_1,52.223.243.254
397,class_1,52.223.224.158
398,class_1,52.223.246.25
399,class_1,52.223.225.102
400,class_1,52.223.224.47
401,class_1,52.223.224.122
402,class_1,52.223.243.53
403,class_1,52.223.243.67
404,class_1,52.223.246.5
405,class_1,52.223.224.13
406,class_1,52.223.225.57
407,class_1,52.223.224.156
408,class_1,52.223.243.77
409,class_1,52.223.224.16
410,class_1,52.223.243.211
411,class_1,52.223.243.220
412,class_1,52.223.225.46
413,class_1,52.223.243.116
414,class_1,52.223.246.157
415,class_1,52.223.225.92
416,class_1,52.223.225.93
417,class_1,52.223.225.44
418,class_1,52.223.246.26
419,class_1,52.223.246.134
420,class_1,52.223.246.148
421,class_1,52.223.246.244
422,class_1,52.223.225.91
423,class_1,52.223.243.232
424,class_1,52.223.225.126
425,class_1,52.223.246.170
426,class_1,52.223.225.68
427,class_1,52.223.225.45
428,class_1,52.223.224.180
429,class_1,52.223.243.152
430,class_1,52.223.246.236
431,class_1,52.223.225.48
432,class_1,52.223.224.108
433,class_1,52.223.243.206
434,class_1,52.223.246.21
435,class_1,52.223.243.235
436,class_1,52.223.246.84
437,class_1,52.223.224.183
438,class_1,52.223.225.80
439,class_1,52.223.225.103
440,class_1,52.223.224.151
441,class_1,52.223.243.33
442,class_1,52.223.225.95
443,class_1,52.223.243.150
444,class_1,52.223.246.228
445,class_1,52.223.224.32
446,class_1,52.223.243.192
447,class_1,52.223.243.98
448,class_1,52.223.243.86
449,class_1,52.223.246.150
450,class_1,52.223.225.81
451,class_1,52.223.243.84
452,class_1,52.223.225.42
453,class_1,52.223.243.212
454,class_1,52.223.246.247
455,class_1,52.223.225.72
456,class_1,52.223.243.87
457,class_1,52.223.229.48
458,class_1,52.223.243.246
459,class_1,52.223.243.237
460,class_1,52.223.243.124
461,class_1,52.223.246.147
462,class_1,52.223.243.166
463,class_1,52.223.244.84
464,class_1,52.223.228.141
465,class_1,52.223.225.101
466,class_1,52.223.243.93
467,class_1,52.223.246.12
468,class_1,52.223.224.114
469,class_1,52.223.228.237
470,class_1,52.223.225.83
471,class_1,52.223.246.24
472,class_1,52.223.243.241
473,class_1,52.223.243.167
474,class_1,52.223.243.164
475,class_1,52.223.225.86
476,class_1,52.223.225.115
477,class_1,52.223.224.60
478,class_1,52.223.246.158
479,class_1,52.223.225.75
480,class_1,52.223.243.24
481,class_1,52.223.225.73
482,class_1,52.223.243.133
483,class_1,52.223.243.253
484,class_1,52.223.226.251
485,class_1,52.223.244.159
486,class_1,52.223.229.13
487,class_1,52.223.229.33
